0,475.54 120.03 2328.68 21721.65 1366.57;
1,284.63 86.34 811.15 13760.59 1032.15;
2,318.98 96.6 781.06 15672.95 793.41;
3,260.61 75.37 790.8 13065.89 1275.24;
4,323.68 84.05 2106.8 17822.47 1692.63;
5,366.02 105.03 3328.47 18623.91 2078.36;
6,457.86 128.94 2163.42 25990.3 1715.41;
7,359.39 104.34 1575.7 18181.22 1269.9;
8,184.22 67.66 1850.28 10688.34 4796.24;
9,394.43 68.81 3247.49 13265.03 2418.6;
10,342.78 71.79 2223.93 16409.87 1831.77;
11,393.18 91.36 2550.35 21675.21 1295.22;
12,424.05 124.1 2103.25 20009.81 1297.83;
13,266.31 51.94 2289.08 16254.25 1763.44;
14,450.5 126.46 2242.55 21739.21 1459.33;
15,323.28 90.13 3038.64 17199.82 1370.92;
16,281.89 67.23 2648.65 16695.86 1369.36;
17,405.98 111.79 1886.54 20929.42 1083.73;
18,456.52 149.03 1674.87 19235.91 2186.28;
19,541.32 137.43 3314.14 26017.19 1533.32;
20,337.11 80.18 2524.67 19090.54 1937.59;
21,405.89 125.77 1888.27 22202.76 1780.08;
22,395.41 98.15 1766.78 20694.76 1503.59;
23,271.31 74.39 2761.86 16917.47 1923.49;
24,131.59 23.76 6443.5 1993.73 16866.95;
25,354.41 85.71 1944.64 17660.26 1729.87;
26,619.42 112.25 4172.32 37771.5 1455.84;
27,372.86 86.05 944.06 11136.6 3649.07;
28,506.07 122.69 5603.1 39036.35 1860;
29,302.93 57.08 3199 10635.8 5341.89;
30,466.81 98.74 4085.74 18219.8 2825.11;
31,318.87 69.96 1982.48 12386.09 2806.36;
32,306.77 81.8 2226.25 15420.76 6448.51;
33,330.07 66.06 1725.65 9672.1 2828.61;
34,660.59 103.5 2199.68 22056.23 1790.64;
35,285.98 85.96 798.21 14101.32 2554.79;
36,523.57 171.57 3206.89 33505.16 1156.48;
37,190.45 61.12 553.4 7555.38 1590.77;
38,372.06 47.61 1615.94 9603.01 2920.9;
39,350.67 77.83 1829.95 17879.67 1473.72;
40,354.05 80.32 2305.92 13092.26 2926.49;
41,416.79 108.67 2725.76 22677.4 2372.14;
42,264.86 70.04 1275.75 13691.29 1037.67;
43,384.39 80.35 3777.83 26766.1 1270.17;
44,494.75 109.16 5694.49 37311.88 1542.21;
45,357.65 83.86 1812.41 8500.06 3173.99;
46,263.63 81.24 1953.74 15050.89 3715.21;
47,353.76 72.38 1753.88 8469.52 3507.77;
48,349.71 116.84 1375.31 17417.64 1113.62;
49,344.95 114.34 1357.59 17161.42 1066.05;
50,267.52 74.47 1955.67 14784.37 1656.31;
51,299.59 99.03 1132.83 14934.36 1071.84;
52,320.02 88.49 905.24 14775.57 3449.99;
53,509.53 110.03 6403.68 39648.97 1783.34;
54,327.66 77.2 817.07 16171.12 1794.34;
55,348.92 72.76 2092.03 11743.49 4334.55;
56,392.05 71.09 1471.43 10781.18 3653.77;
57,232.8 67.92 1066.66 11867 1456.07;
58,297.85 116.96 1181.28 16299.91 1152.48;
59,394.11 94.4 1346.55 20319.16 2879.95;
60,348.64 83.48 1223.18 16497.98 3987.44;
61,602.9 44.05 12176.92 7696.55 14108.91;
62,318.21 86.45 859.63 14561.91 2068.36;
63,240.21 76.51 696.53 11188.84 1164.48;
64,314.28 90.02 871.32 14654.33 1290.01;
65,305.6 83.96 808.08 14169.9 1165.29;
66,535.95 129.53 3833.03 33596.7 1607.23;
67,494.22 115.67 2436.84 24763.23 1211.06;
68,384.97 79.31 1786.73 17674.91 2937.85;
69,483.08 124.75 2427.78 22810.37 1295.77;
70,461.35 109.94 2352.52 23025.43 1288.56;
71,365.63 125.26 2041.04 19329.13 769.93;
72,364.72 103.39 2431.12 17266.86 2466.29;
73,333.16 71.77 2014.51 10696.95 3928.5;
74,449.22 108.18 2563.44 21728.02 1817.15;
75,283.09 95.39 2399.69 15334.13 1770.24;
76,386.01 121.61 1608.26 19345.13 1281.5;
77,258.6 68.13 2329.94 9323.84 5659.77;
78,425.29 105.6 2334.47 20454.67 1709.12;
79,338.12 108.06 3022.02 20228.95 1212.57;
80,350.23 92.63 2871.73 18112.24 2096.17;
81,351.48 69.74 3023.74 10265.6 3332.65;
82,289.66 84.76 903.93 14351.92 1878.06;
83,472.06 137.63 1938.65 23484.59 2012.64;
84,616.46 132.53 3576.72 32590.1 2146.21;
85,302.97 62.34 1223.1 8082.1 3845.43;
86,269.15 91.99 2194.05 14251.69 1782.38;
87,465.54 106.37 2227.1 23348.67 1568.41;
88,252.88 73.65 1736.45 12112.05 1211;
89,484.11 92.42 1193.06 20749.47 6348.48;
90,479.29 129.75 5025.54 42566.63 1845.43;
91,306.32 92.2 2833.85 16921.05 2133.84;
92,287.79 95.36 2865.85 17240.84 1897.95;
93,135.89 55.55 1665.54 8175.3 1169.09;
94,335.31 91.49 1272.59 17324.75 1265.54;
95,303.76 89.88 1294.12 15753.32 786.52;
96,551.79 147.19 3179.74 27164.24 1797.44;
97,486.4 116.31 2398.67 23803.19 1417.07;
98,334.52 80.81 1837.1 16890.55 1181.18;
99,352.63 120.05 1529.52 16872.52 1170.66;
100,216.58 65.27 2208.29 13437 1483.39;
101,373.69 98 1417.68 18065.36 3564.4;
102,414.49 101.26 2518.41 21692.6 1104.66;
103,578.31 154.58 3166.28 26803.25 1868.85;
104,509.9 128.37 2206.78 24195.65 1781.51;
105,562.26 124.86 3107.14 27088.29 1752.99;
106,196.38 17.2 10414.33 6885.35 14186.58;
107,216.4 12.73 10645.31 7419.13 14677.27;
108,79.42 39.14 6110.22 2058.4 17993.36;
109,144.08 41.58 12285.75 3926.34 11335.22;
110,418.47 66.52 1724.52 11214.8 3944.35;
111,428.15 58.9 1478.61 11176.65 2991.14;
112,318.58 88.77 1096.69 7700.36 5669.73;
113,361.03 91.26 1991.29 15404.1 2448.46;
114,380.38 68.8 1704.25 10014.05 3392.82;
115,362.86 121.59 1890.24 16713.3 1865.64;
116,321.69 89.63 1657.06 16846.79 1367.21;
117,352.58 43.11 1702.29 9844.07 2982.84;
118,431.83 95.92 2586.44 19744.59 2821.62;
119,478.92 105.27 2202.96 12521.52 4564.18;
120,385.43 67.6 1983.07 9625.27 3791.86;
121,341.44 52.69 3119.43 13290.96 3034.28;
122,325.22 75.95 1826.85 13333.32 1161.66;
123,346.06 85.78 1368.23 14117.83 2495.31;
124,271.25 96.29 1941.96 14997.38 1246.55;
125,331.65 76.96 1911.34 15007.35 2714.45;
126,374.7 69.87 4095.86 22713.14 31130.51;
127,337.07 130.82 1877.4 16983.88 1077.73;
128,318.32 112.49 1571.73 16385.39 2297.22;
129,278.7 94.42 1870.85 13786.11 685.18;
130,306.13 91.31 1776.45 16726.22 1707.88;
131,470.31 128.31 1855.09 22212.08 2039.13;
132,273.09 77.37 1131.1 7611.89 2886.7;
133,439.66 128.68 2030.34 21890.12 2028.57;
134,334.46 100.28 2155.33 17387.61 2802.02;
135,317.14 120.95 1908.47 17128.33 1948.28;
136,368.99 93.29 2902.31 14048.99 2667.4;
137,413.35 110.01 1927.27 20994.26 1451.21;
138,312.85 100.25 1154.34 15896.73 1316.41;
139,489.38 121.73 4025.59 17262.46 4492.94;
140,447.3 70.46 1782.14 12108.42 3977.45;
141,383.14 90.25 4134.29 15384.78 2928.53;
142,526.88 98.57 1113.18 21640.32 2200.04;
143,422.8 117.65 1796.48 21449.44 1594.54;
144,312.47 87.42 2121.42 18838.77 1820.43;
145,270.46 58.64 1714.16 14835.2 1181.08;
146,367.01 76.79 1704.58 10666.76 3644.55;
147,268.52 95.34 2326.71 15667.45 2323.71;
148,309.37 27.45 12906.48 7610.64 14085.1;
149,373.08 103.85 1748.47 18861.24 1563.67;
150,346.58 129.26 3047.3 19553.8 1823.86;
151,380.52 83.43 1960.83 20794.41 1883.68;
152,412.09 95.86 2439.14 22424.06 3752.81;
153,396.31 112.1 1973.6 20911.78 1372.07;
154,371.39 76.34 2191.59 12019.08 3330.56;
155,571.11 156.79 3445.52 27999.72 1461.11;
156,352.53 99.64 2491.53 18614.62 1806.34;
157,419.66 101.52 1694.25 21839.01 1974.82;
158,290.15 110.25 2100.37 15240.56 1496.45;
159,442.96 104.9 2115.13 22056.88 1332.12;
160,372.77 119.56 1305.76 19173.19 1005.24;
161,405.79 108.93 1769.52 20743.84 1559.19;
162,352.36 76.99 1787.11 16783.57 1207.47;
163,161.09 63.49 1485.77 8430.52 933.16;
164,313 87.88 2620.36 18146.22 1738.62;
165,423.87 92.07 1812.17 21603.74 2076.58;
166,480.7 120.18 2122.19 23080.06 1885.1;
167,321.91 88.16 3111.85 20199.07 1284.96;
168,351.07 98.72 3421.4 19055.44 1986.25;
169,464.68 130.59 2217.61 22998.74 2014.58;
170,272.08 77.53 2866.97 16379.41 1430.1;
171,458.11 137.27 2592.17 22971.43 1438.7;
172,509.95 122.77 2519.31 24189.49 1662.34;
173,259.81 83.58 2623.88 15448.5 1304.77;
174,381.72 112.03 1556.48 19225.25 1073.58;
175,352.55 110.5 1662.68 17634.9 1224.06;
176,259.21 93.97 2461.42 14462.02 1135.23;
177,470.48 87.38 2714.88 26230.95 728.15;
178,317.04 110.86 2467.6 16094.89 1774.04;
179,335.39 89.22 3002.09 18125.9 1815.44;
180,384.96 82.65 1695.74 19996.29 1427.25;
181,428.52 111.06 2008.17 20619.11 1182.16;
182,340.43 69.51 3215.61 18237.47 2063.12;
183,309.11 85.33 1341.83 8385.25 3558.46;
184,268.22; 407.52 83.24; 134.99 1581.37; 2404.93 15619.28; 19633.2 1460.32; 1000.69;
185,273.26 73.34 2527.22 16486.29 3386.44;
186,501.62 138 2302.32 23225.58 1768.29;
187,360.32 87.25 1630.5 19599.87 993.73;
188,392.9 111.55 3189.26 21879.03 1959.89;
189,482.69 134.27 2028.47 22207.39 1669.32;
190,383.47 97.88 1548.82 19822.81 1386.27;
191,351.75 108.92 1414.43 19826.79 1611.82;
192,389.14 68.97 1931.74 21030.63 1049.1;
193,345.27 71.84 1593.1 10492.03 3532.47;
194,419.6 127.97 1873.34 19477.75 2145.67;
195,254.43 75.74 2593.83 14753.21 1467.47;
196,352.42 98.24 2435.95 17191.8 1495.66;
197,314.78 72.16 2640.57 18726.81 1452.17;
198,271.48 93.18 2309.47 16710.82 1051.67;
199,384.87 103.23 1845.36 21000.95 1505.01;
200,240.14 59.69 2466.23 15031.88 1134.99;
201,436.74 131.24 2251.87 21806.55 2434.33;
202,466.55 127.89 2478.45 22714.04 1278.05;
203,390.91 71 1609 14086.41 3010.19;
204,358.16 84.35 2139.73 17279.12 1441.81;
205,206.81 60.68 2380.94 11809.99 1385.29;
206,251.83 80.57 2293.58 15115.33 1482.32;
207,493.4 134.53 2324.67 23109.18 1484.27;
208,365.99 133.15 1420.59 17672.94 1252.98;
209,510.95 143.18 2242.59 22991.81 1286.57;
210,266.56 91.94 2916.82 17074.78 1162.44;
211,293.8 110.83 2383.63 15484.04 1595.69;
212,294.78 89.16 3025.38 17245.96 1990.74;
213,369.68 84.89 2122.66 20462.47 2357.49;
214,291.1 86.04 2697.84 18562.59 1596.4;
215,383.09 91.04 1600.18 19499.22 1440.23;
216,416.05 122.86 1862.91 20560.04 1767.1;
217,295.03 88.2 1198.9 13628.29 903.04;
218,254.42 87.09 2335.51 14429.45 1391.52;
219,373.75 84.18 1732.34 10605.77 3508.67;
220,304.3 104.31 2305.13 17481.32 1907.75;
221,271.48 77.89 2987.66 15131.74 1727.18;
222,231.34 72.28 2180.61 13945.71 782.96;
223,326.66 115.69 2338.95 18396.1 4060.85;
224,450.96 134.86 1960.3 22543.78 1179.24;
225,507.42 108 2184.39 24190.82 1748.89;
226,373.06 83.12 1603.75 20855.2 1235.74;
227,294.87 101.97 2510.34 17869.23 1157.55;
228,465.76 135.24 2239.08 21733.76 1348.1;
229,392.04 97.18 3558.93 18492.31 1750.86;
230,403.08 107.71 1676.45 19311.47 1395.91;
231,345.55 86.42 1634.58 18932.26 899.39;
232,252.65 71.19 2362.03 15572.53 3507.15;
233,283.44 73.42 2839.34 17640.09 1457.22;
234,429.12 124.3 1865.69 22772.2 1280.71;
235,384.3 90.29 2383.53 18902.47 1405.87;
236,275.22 83.74 2685.62 17685.48 1211.41;
237,495.19 125.43 2958.19 24075.41 1821.62;
238,372.04 73.22 1929.33 12957.57 3256.73;
239,434.4 123.68 1870.23 20865.49 1593.03;
240,395.06 79.49 1817.35 12103.92 3882.55;
241,280.88 33.06 10698.87 5675.79 15896.69;
242,318.79 96.98 2361.78 17041.84 2467.11;
243,429.89 99.51 1710.89 11598.39 3641.07;
244,373.97 78.32 2650.28 12972.23 5734.88;
245,394.73 115.85 1683 18923.13 1617.35;
246,394.75 74.34 2998.13 15247.62 2400.44;
247,310.18 115.64 2318.39 16790.15 1607.16;
248,378.77 64.21 1542.27 10851.8 3314.87;
249,355.91 71.23 2237.1 16260.27 2163.44;
250,182.54 52.46 2908.97 8400.12 6338.14;
251,390.49 84.83 1550.82 9190.01 3578.1;
252,421.38 124.4 2103.53 19500.21 1265.76;
